date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:50:20	178/178	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Nov%202018%2010:50:19%20GMT	https://demo.bootstrapious.com/robots.txt		(from )
10:50:20	49898/49898	---MCZ	200	added ('OK')	text/html	etag:W/%225b601d03-c2ea%22	https://demo.bootstrapious.com/admin-premium/1-4-4/	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/index.html	(from )
10:50:21	140936/140936	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2008:26:07%20GMT	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/vendor/bootstrap/css/bootstrap.min.css	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/vendor/bootstrap/css/bootstrap.min.css	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:21	31000/31000	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2008:29:19%20GMT	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/vendor/font-awesome/css/font-awesome.min.css	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/vendor/font-awesome/css/font-awesome.min.css	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:21	2226/2226	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2008:22:41%20GMT	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/css/fontastic.css	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/css/fontastic.css	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:21	89954/89954	---MCZ	200	added ('OK')	text/css	date:Tue,%2031%20Jul%202018%2008:22:46%20GMT	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/css/style.default.premium.css	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/css/style.default.premium.css	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:21	25/25	---M--	200	added ('OK')	text/css	etag:%225b601c51-19%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/css/custom.css	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/css/custom.css	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:22	49898/49898	---MCZ	200	added ('OK')	text/html	etag:W/%225b601d03-c2ea%22	https://demo.bootstrapious.com/admin-premium/1-4-4/index.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/index-2.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:22	3854/3854	---M--	200	added ('OK')	image/jpeg	etag:%225b601c71-f0e%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/img/avatar-1.jpg	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/img/avatar-1.jpg	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:22	25528/25528	---M--	200	added ('OK')	image/jpeg	etag:%225b601c75-63b8%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/img/avatar-2.jpg	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/img/avatar-2.jpg	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:22	12372/12372	---M--	200	added ('OK')	image/jpeg	etag:%225b601c76-3054%22	https://d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/img/avatar-3.jpg	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/d19m59y37dris4.cloudfront.net/admin-premium/1-4-4/img/avatar-3.jpg	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:23	307/307	---M--	200	added ('OK')	image/png	etag:%225b601ca3-133%22	https://demo.bootstrapious.com/admin-premium/1-4-4/img/flags/16/GB.png	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/img/flags/16/GB.png	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:23	102/102	---M--	200	added ('OK')	image/png	etag:%225b601c9c-66%22	https://demo.bootstrapious.com/admin-premium/1-4-4/img/flags/16/DE.png	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/img/flags/16/DE.png	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:23	100/100	---M--	200	added ('OK')	image/png	etag:%225b601ca2-64%22	https://demo.bootstrapious.com/admin-premium/1-4-4/img/flags/16/FR.png	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/img/flags/16/FR.png	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:23	5779/5779	---M--	200	added ('OK')	text/html	etag:%225b601d0a-1693%22	https://demo.bootstrapious.com/admin-premium/1-4-4/login.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/login.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:23	29567/29567	---MCZ	200	added ('OK')	text/html	etag:W/%225b601d0d-737f%22	https://demo.bootstrapious.com/admin-premium/1-4-4/pages-profile.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/pages-profile.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:24	25821/25821	---MCZ	200	added ('OK')	text/html	etag:W/%225b601d10-64dd%22	https://demo.bootstrapious.com/admin-premium/1-4-4/tables.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/tables.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:24	62937/62937	---MCZ	200	added ('OK')	text/html	etag:W/%225b601d0f-f5d9%22	https://demo.bootstrapious.com/admin-premium/1-4-4/tables-datatable.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/tables-datatable.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:25	26141/26141	---MCZ	200	added ('OK')	text/html	etag:W/%225b601c4a-661d%22	https://demo.bootstrapious.com/admin-premium/1-4-4/charts.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/charts.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:25	19236/19236	---MCZ	200	added ('OK')	text/html	etag:W/%225b601c49-4b24%22	https://demo.bootstrapious.com/admin-premium/1-4-4/charts-gauge-sparkline.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/charts-gauge-sparkline.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:25	44824/44824	---MCZ	200	added ('OK')	text/html	etag:W/%225b601c6d-af18%22	https://demo.bootstrapious.com/admin-premium/1-4-4/forms.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/forms.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:25	30813/30813	---MCZ	200	added ('OK')	text/html	etag:W/%225b601c69-785d%22	https://demo.bootstrapious.com/admin-premium/1-4-4/forms-advanced.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/forms-advanced.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:25	27186/27186	---MCZ	200	added ('OK')	text/html	etag:W/%225b601c6a-6a32%22	https://demo.bootstrapious.com/admin-premium/1-4-4/forms-autocomplete.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/forms-autocomplete.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:26	17019/17019	---MCZ	200	added ('OK')	text/html	etag:W/%225b601c6a-427b%22	https://demo.bootstrapious.com/admin-premium/1-4-4/forms-dropzone.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/forms-dropzone.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
10:50:26	16792/16792	---MCZ	200	added ('OK')	text/html	etag:W/%225b601c6b-4198%22	https://demo.bootstrapious.com/admin-premium/1-4-4/forms-texteditor.html	C:/Users/CET%20-%20A/Desktop/Teresa%20-%20Sofia/demo.bootstrapious.com/admin-premium/1-4-4/forms-texteditor.html	(from https://demo.bootstrapious.com/admin-premium/1-4-4/)
